Date,Revenue,Cost of Revenue,Gross Profit,EBITDA,Receivables,Total Current Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Other Long-Term Liabilities,Total Liabilities,Shareholders' Equity,Book Value Per Share,Market Capitalization,Enterprise Value,PS Ratio,PB Ratio,P/OCF Ratio,Share-Based Compensation,Operating Cash Flow,Adj Close
2021-10-07,6945.813186813187,2424.5274725274726,4521.285714285715,2929.956043956044,3856.945054945055,25806.0,4276.582417582417,14303.274725274725,40109.27472527473,1498.3406593406594,17010.43956043956,23098.835164835164,9.245714285714286,598001.5824175824,590553.043956044,25.208681318681318,25.807252747252747,73.9254945054945,534.2087912087912,1825.7252747252746,210.45245361328125
2021-10-08,6952.3626373626375,2426.5054945054944,4525.857142857143,2932.7912087912086,3860.989010989011,25806.0,4295.516483516483,14325.054945054944,40131.054945054944,1499.868131868132,17003.08791208791,23127.967032967033,9.257142857142856,599674.5164835164,592219.2087912088,25.253736263736265,25.84945054945055,74.1110989010989,535.2417582417582,1812.9450549450548,208.01593017578125
2021-10-11,6972.010989010989,2432.4395604395604,4539.571428571428,2941.2967032967035,3873.120879120879,25806.0,4352.318681318681,14390.395604395604,40196.395604395606,1504.4505494505495,16981.032967032967,23215.36263736264,9.291428571428572,604693.3186813187,597217.7032967033,25.388901098901098,25.976043956043956,74.66791208791209,538.3406593406594,1774.6043956043954,206.6578369140625
2021-10-12,6978.56043956044,2434.4175824175823,4544.142857142857,2944.131868131868,3877.164835164835,25806.0,4371.252747252747,14412.175824175825,40218.17582417582,1505.978021978022,16973.68131868132,23244.494505494506,9.302857142857142,606366.2527472528,598883.8681318681,25.433956043956044,26.018241758241757,74.85351648351649,539.3736263736264,1761.8241758241757,206.4181671142578
2021-10-13,6985.10989010989,2436.3956043956046,4548.714285714285,2946.967032967033,3881.2087912087914,25806.0,4390.186813186813,14433.956043956045,40239.956043956045,1507.5054945054944,16966.32967032967,23273.62637362637,9.314285714285713,608039.1868131869,600550.032967033,25.479010989010987,26.060439560439562,75.03912087912087,540.4065934065934,1749.0439560439559,209.09442138671875
2021-10-14,6991.659340659341,2438.3736263736264,4553.285714285715,2949.802197802198,3885.252747252747,25806.0,4409.120879120879,14455.736263736264,40261.73626373626,1509.032967032967,16958.978021978022,23302.75824175824,9.325714285714286,609712.1208791209,602216.1978021978,25.524065934065934,26.102637362637363,75.22472527472527,541.4395604395604,1736.263736263736,217.15298461914062
2021-10-15,6998.208791208791,2440.3516483516482,4557.857142857143,2952.6373626373625,3889.2967032967035,25806.0,4428.054945054945,14477.516483516483,40283.51648351648,1510.5604395604396,16951.62637362637,23331.89010989011,9.337142857142856,611385.0549450549,603882.3626373627,25.569120879120877,26.144835164835165,75.41032967032967,542.4725274725274,1723.4835164835163,218.31137084960938
2021-10-18,7017.857142857143,2446.285714285714,4571.571428571428,2961.1428571428573,3901.4285714285716,25806.0,4484.857142857143,14542.857142857143,40348.857142857145,1515.142857142857,16929.571428571428,23419.285714285714,9.371428571428572,616403.8571428572,608880.8571428572,25.704285714285714,26.271428571428572,75.96714285714285,545.5714285714286,1685.142857142857,221.90628051757812
2021-10-19,7024.406593406593,2448.263736263736,4576.142857142857,2963.978021978022,3905.4725274725274,25806.0,4503.791208791209,14564.637362637362,40370.63736263736,1516.6703296703297,16922.21978021978,23448.417582417584,9.382857142857143,618076.7912087912,610547.021978022,25.74934065934066,26.313626373626374,76.15274725274725,546.6043956043956,1672.3626373626373,222.5852813720703
2021-10-20,7030.956043956044,2450.2417582417584,4580.714285714285,2966.813186813187,3909.5164835164833,25806.0,4522.725274725275,14586.417582417582,40392.41758241758,1518.1978021978023,16914.86813186813,23477.54945054945,9.394285714285713,619749.7252747254,612213.1868131869,25.794395604395604,26.355824175824175,76.33835164835165,547.6373626373627,1659.5824175824175,220.71795654296875
