Date,Revenue,Gross Profit,Operating Income,Pretax Income,Net Income,Shares Outstanding (Diluted),EPS (Diluted),Free Cash Flow,EBITDA,EBIT,Adj Close
2013-12-16,54940.54945054945,20794.35164835165,16482.82417582418,16711.285714285714,12338.813186813186,25269.351648351647,0.49098901098901104,18908.54945054945,18891.54945054945,16795.153846153848,17.478548049926758
2013-12-17,55161.670329670334,20881.98901098901,16564.505494505494,16794.428571428572,12399.91208791209,25266.98901098901,0.49340659340659343,19051.67032967033,18978.67032967033,16878.307692307695,17.39986228942871
2013-12-18,55382.79120879121,20969.62637362637,16646.186813186814,16877.571428571428,12461.010989010989,25264.626373626375,0.4958241758241758,19194.79120879121,19065.79120879121,16961.46153846154,17.267555236816406
2013-12-19,55603.91208791209,21057.263736263736,16727.868131868134,16960.714285714286,12522.10989010989,25262.263736263736,0.49824175824175826,19337.91208791209,19152.91208791209,17044.615384615383,17.069719314575195
2013-12-20,55825.03296703297,21144.9010989011,16809.54945054945,17043.85714285714,12583.208791208792,25259.9010989011,0.5006593406593407,19481.032967032967,19240.032967032967,17127.76923076923,17.212697982788086
2013-12-23,56488.395604395606,21407.813186813186,17054.593406593405,17293.285714285714,12766.505494505494,25252.813186813186,0.507912087912088,19910.395604395606,19501.395604395606,17377.23076923077,17.873275756835938
2013-12-24,56709.51648351648,21495.45054945055,17136.274725274725,17376.428571428572,12827.604395604396,25250.45054945055,0.5103296703296704,20053.516483516483,19588.516483516483,17460.384615384617,17.797401428222656
2013-12-26,57151.758241758245,21670.725274725275,17299.637362637364,17542.714285714286,12949.802197802197,25245.725274725275,0.5151648351648352,20339.75824175824,19762.75824175824,17626.69230769231,17.679203033447266
2013-12-27,57372.87912087912,21758.36263736264,17381.318681318684,17625.85714285714,13010.9010989011,25243.362637362636,0.5175824175824176,20482.879120879123,19849.879120879123,17709.846153846156,17.55975341796875
2013-12-30,57331.406593406595,21760.30769230769,17377.945054945056,17623.483516483517,13009.384615384615,25227.505494505494,0.5175824175824176,20437.56043956044,19845.85714285714,17707.505494505494,17.385122299194336
2013-12-31,57200.10989010989,21717.46153846154,17335.417582417584,17580.725274725275,12978.076923076924,25220.75824175824,0.5163736263736264,20343.340659340658,19800.285714285714,17664.75824175824,17.588911056518555
2014-01-02,56937.51648351648,21631.76923076923,17250.362637362636,17495.20879120879,12915.461538461539,25207.263736263736,0.513956043956044,20154.9010989011,19709.14285714286,17579.263736263736,17.341543197631836
2014-01-03,56806.21978021978,21588.923076923078,17207.835164835164,17452.45054945055,12884.153846153846,25200.516483516483,0.5127472527472527,20060.68131868132,19663.571428571428,17536.516483516483,16.960622787475586
