Date,Net Income,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Net Cash Flow,Adj Close
2018-11-09,16756.20879120879,22752.08791208791,984.1098901098903,-18568.30769230769,5167.89010989011,49.12777328491211
2018-11-12,16948.736263736264,22988.362637362636,1275.7032967032974,-18274.76923076923,5989.296703296703,46.65299606323242
2018-11-13,17012.91208791209,23067.120879120877,1372.9010989010994,-18176.923076923078,6263.0989010989,46.18687438964844
2018-11-14,17077.08791208791,23145.879120879123,1470.0989010989015,-18079.076923076922,6536.9010989010985,44.88222503662109
2018-11-15,17141.263736263736,23224.63736263736,1567.2967032967035,-17981.23076923077,6810.703296703296,45.98986053466797
2018-11-16,17205.43956043956,23303.395604395606,1664.4945054945056,-17883.384615384617,7084.505494505494,46.49922561645508
2018-11-19,17397.967032967033,23539.67032967033,1956.0879120879126,-17589.846153846156,7905.912087912087,44.65636444091797
2018-11-20,17462.142857142855,23618.428571428572,2053.2857142857147,-17492.0,8179.714285714284,42.52278137207031
2018-11-21,17526.31868131868,23697.186813186814,2150.4835164835167,-17394.153846153848,8453.516483516483,42.47472381591797
2018-11-23,17654.67032967033,23854.703296703297,2344.879120879121,-17198.46153846154,9001.120879120877,41.39591217041016
2018-11-26,17847.197802197803,24090.978021978022,2636.472527472528,-16904.923076923078,9822.527472527472,41.95574188232422
2018-11-27,17911.37362637363,24169.736263736264,2733.67032967033,-16807.076923076922,10096.32967032967,41.864444732666016
2018-11-28,17975.54945054945,24248.494505494506,2830.868131868132,-16709.23076923077,10370.131868131866,43.4742431640625
2018-11-29,18039.725274725275,24327.252747252747,2928.065934065934,-16611.384615384617,10643.934065934063,43.14027404785156
2018-11-30,18103.9010989011,24406.01098901099,3025.263736263737,-16513.53846153846,10917.736263736264,42.90720748901367
2018-12-03,18296.428571428572,24642.285714285714,3316.857142857143,-16220.0,11739.142857142855,44.40649032592773
2018-12-04,18360.604395604394,24721.043956043955,3414.054945054945,-16122.153846153848,12012.945054945052,42.453102111816406
2018-12-06,18488.956043956045,24878.56043956044,3608.45054945055,-15926.461538461539,12560.54945054945,41.97976303100586
2018-12-07,18553.131868131866,24957.31868131868,3705.648351648352,-15828.615384615385,12834.351648351647,40.48289489746094
2018-12-10,18745.65934065934,25193.593406593405,3997.2417582417584,-15535.076923076924,13655.758241758242,40.74959564208984
2018-12-11,18809.835164835164,25272.351648351647,4094.4395604395613,-15437.23076923077,13929.560439560439,40.51653671264648
2018-12-12,18874.01098901099,25351.10989010989,4191.637362637363,-15339.384615384617,14203.362637362636,40.62945556640625
2018-12-13,18938.186813186814,25429.86813186813,4288.835164835165,-15241.538461538461,14477.164835164833,41.073951721191406
2018-12-14,19002.36263736264,25508.62637362637,4386.0329670329675,-15143.692307692309,14750.96703296703,39.75968551635742
2018-12-17,19194.89010989011,25744.9010989011,4677.6263736263745,-14850.153846153848,15572.373626373625,39.38967514038086
2018-12-18,19259.065934065933,25823.65934065934,4774.824175824177,-14752.307692307693,15846.175824175822,39.90145111083984
2018-12-19,19323.24175824176,25902.417582417584,4872.021978021979,-14654.461538461539,16119.978021978019,38.65685272216797
2018-12-20,19387.417582417584,25981.17582417582,4969.219780219781,-14556.615384615385,16393.78021978022,37.68135833740234
2018-12-21,19451.593406593405,26059.934065934067,5066.417582417583,-14458.76923076923,16667.582417582416,36.21573257446289
2018-12-24,19644.120879120877,26296.20879120879,5358.010989010989,-14165.23076923077,17488.989010989008,35.27867126464844
2018-12-26,19772.472527472528,26453.725274725275,5552.406593406595,-13969.538461538463,18036.593406593405,37.76304626464844
2018-12-27,19836.64835164835,26532.483516483517,5649.604395604396,-13871.692307692309,18310.395604395602,37.51797866821289
2018-12-28,19900.824175824175,26611.24175824176,5746.802197802199,-13773.846153846154,18584.1978021978,37.53720474243164
2018-12-31,19780.296703296703,26348.571428571428,6008.923076923077,-14022.835164835165,18334.659340659342,37.90000534057617
2019-01-02,19595.593406593405,26007.14285714286,6173.846153846154,-14369.670329670329,17811.31868131868,37.94326019287109
2019-01-03,19503.24175824176,25836.428571428572,6256.307692307692,-14543.087912087913,17549.648351648353,34.16382598876953
2019-01-04,19410.89010989011,25665.714285714286,6338.7692307692305,-14716.505494505494,17287.978021978022,35.62225341796875
2019-01-07,19133.835164835164,25153.571428571428,6586.153846153846,-15236.758241758242,16502.967032967033,35.54297637939453
2019-01-08,19041.483516483517,24982.85714285714,6668.615384615385,-15410.175824175825,16241.296703296703,36.22053146362305
2019-01-09,18949.13186813187,24812.14285714286,6751.076923076923,-15583.593406593407,15979.626373626374,36.83562088012695
2019-01-10,18856.78021978022,24641.428571428572,6833.538461538462,-15757.010989010989,15717.956043956045,36.95333862304688
2019-01-11,18764.428571428572,24470.714285714286,6916.0,-15930.428571428572,15456.285714285714,36.59054565429688
