Date,Cash & Cash Equivalents,Total Current Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Total Long-Term Liabilities,Total Liabilities,Total Debt,Adj Close
2019-03-26,226273.5934065934,124114.43956043955,219277.8901098901,343392.3296703297,94409.84615384616,142593.6043956044,237003.45054945056,112722.30769230769,45.0722885131836
2019-03-27,226057.94505494507,123922.32967032967,219121.41758241758,343043.74725274724,94250.38461538462,142536.7032967033,236787.0879120879,112699.23076923077,45.47768020629883
2019-03-28,225842.2967032967,123730.21978021978,218964.94505494504,342695.16483516485,94090.92307692308,142479.8021978022,236570.72527472526,112676.15384615384,45.53800964355469
2019-03-29,225626.64835164836,123538.10989010989,218808.47252747254,342346.5824175824,93931.46153846153,142422.9010989011,236354.36263736265,112653.07692307692,45.83480453491211
2019-04-01,225085.7032967033,123601.53846153847,217962.1978021978,341563.73626373627,93682.59340659341,142227.82417582418,235910.41758241758,112537.42857142857,46.14608383178711
2019-04-02,224923.05494505496,123729.30769230769,217617.2967032967,341346.6043956044,93637.89010989011,142158.73626373627,235796.62637362638,112491.14285714286,46.816890716552734
2019-04-03,224760.4065934066,123857.07692307692,217272.3956043956,341129.47252747254,93593.18681318681,142089.64835164836,235682.83516483515,112444.85714285714,47.1378173828125
2019-04-04,224597.75824175825,123984.84615384616,216927.4945054945,340912.34065934067,93548.48351648351,142020.56043956045,235569.04395604396,112398.57142857143,47.2198600769043
2019-04-05,224435.1098901099,124112.61538461539,216582.5934065934,340695.2087912088,93503.78021978022,141951.47252747254,235455.25274725276,112352.28571428571,47.53596496582031
2019-04-08,223947.16483516485,124495.92307692308,215547.8901098901,340043.8131868132,93369.67032967033,141744.2087912088,235113.8791208791,112213.42857142857,48.28399658203125
2019-04-09,223784.5164835165,124623.69230769231,215202.989010989,339826.68131868134,93324.96703296703,141675.1208791209,235000.0879120879,112167.14285714286,48.13921737670898
2019-04-10,223621.86813186813,124751.46153846153,214858.0879120879,339609.5494505495,93280.26373626373,141606.03296703298,234886.2967032967,112120.85714285714,48.40945816040039
2019-04-11,223459.21978021978,124879.23076923077,214513.18681318683,339392.4175824176,93235.56043956045,141536.94505494504,234772.5054945055,112074.57142857143,48.00649642944336
2019-04-12,223296.57142857142,125007.0,214168.2857142857,339175.28571428574,93190.85714285714,141467.85714285713,234658.7142857143,112028.28571428571,47.9871940612793
2019-04-15,222808.62637362638,125390.30769230769,213133.58241758242,338523.8901098901,93056.74725274726,141260.5934065934,234317.34065934067,111889.42857142857,48.07405471801758
2019-04-16,222645.97802197802,125518.07692307692,212788.6813186813,338306.7582417582,93012.04395604396,141191.5054945055,234203.54945054944,111843.14285714286,48.07888412475586
2019-04-17,222483.32967032967,125645.84615384616,212443.78021978022,338089.62637362635,92967.34065934065,141122.41758241758,234089.75824175825,111796.85714285714,49.01512908935547
2019-04-18,222320.6813186813,125773.61538461539,212098.8791208791,337872.4945054945,92922.63736263737,141053.32967032967,233975.96703296702,111750.57142857143,49.19127655029297
2019-04-22,221670.0879120879,126284.69230769231,210719.27472527474,337003.967032967,92743.82417582418,140776.97802197802,233520.8021978022,111565.42857142857,49.35294342041016
2019-04-23,221507.43956043955,126412.46153846153,210374.37362637362,336786.83516483515,92699.12087912088,140707.8901098901,233407.01098901097,111519.14285714286,50.06477737426758
2019-04-24,221344.7912087912,126540.23076923077,210029.47252747254,336569.7032967033,92654.41758241758,140638.8021978022,233293.21978021978,111472.85714285714,49.98756408691406
2019-04-25,221182.14285714287,126668.0,209684.57142857142,336352.5714285714,92609.71428571429,140569.7142857143,233179.42857142858,111426.57142857143,49.5339241027832
2019-04-26,221019.4945054945,126795.76923076923,209339.67032967033,336135.43956043955,92565.01098901099,140500.62637362638,233065.63736263735,111380.28571428571,49.29744720458984
2019-04-29,220531.54945054944,127179.07692307692,208304.96703296702,335484.04395604396,92430.9010989011,140293.36263736265,232724.26373626373,111241.42857142857,49.37224960327149
2019-04-30,220368.9010989011,127306.84615384616,207960.06593406593,335266.9120879121,92386.1978021978,140224.27472527474,232610.47252747254,111195.14285714286,48.421531677246094
2019-05-01,220206.25274725276,127434.61538461539,207615.16483516485,335049.7802197802,92341.49450549451,140155.18681318683,232496.6813186813,111148.85714285714,50.79833984375
2019-05-02,220043.6043956044,127562.38461538461,207270.26373626373,334832.64835164836,92296.79120879121,140086.0989010989,232382.8901098901,111102.57142857143,50.467750549316406
2019-05-03,219880.95604395604,127690.15384615384,206925.36263736265,334615.5164835165,92252.08791208791,140017.01098901097,232269.0989010989,111056.28571428571,51.095123291015625
